epoch,step,layer,expert,count
7,0,0,5,0
7,0,0,6,0
7,0,0,7,126
7,0,1,0,130
7,0,1,1,198
7,0,1,2,4
7,0,1,3,0
7,0,1,4,239
7,0,1,5,0
7,0,1,6,139
7,0,1,7,792
9,0,0,1,40
9,0,0,2,0
9,0,0,3,0
9,0,0,4,780
9,0,0,5,785
9,0,0,6,447
9,0,0,7,0
9,0,0,0,0
9,0,1,5,4
9,0,1,6,267
9,0,1,7,789
9,0,1,0,0
9,0,1,1,0
9,0,1,2,0
9,0,1,3,749
9,0,1,4,0
5,5,0,1,707
5,5,0,2,365
5,5,0,3,13
5,5,0,4,799
5,5,0,5,0
5,5,0,6,4
5,5,0,7,0
5,5,0,0,85
5,5,1,1,793
5,5,1,2,2
5,5,1,3,84
5,5,1,4,164
5,5,1,5,445
5,5,1,6,586
5,5,1,7,216
5,5,1,0,5
8,0,0,2,792
8,0,0,3,21
8,0,0,4,0
8,0,0,5,0
8,0,0,6,0
8,0,0,7,126
8,0,0,0,0
8,0,0,1,0
8,0,1,5,0
8,0,1,6,159
8,0,1,7,792
8,0,1,0,118
8,0,1,1,242
8,0,1,2,4
8,0,1,3,0
8,0,1,4,266
10,0,0,4,780
10,0,0,5,785
10,0,0,6,447
10,0,0,7,0
10,0,0,0,0
10,0,0,1,40
10,0,0,2,0
10,0,0,3,0
10,0,1,0,0
10,0,1,1,0
10,0,1,2,0
10,0,1,3,402
10,0,1,4,0
10,0,1,5,15
10,0,1,6,611
10,0,1,7,789
6,6,0,1,705
6,6,0,2,365
6,6,0,3,12
6,6,0,4,799
6,6,0,5,0
6,6,0,6,3
6,6,0,7,0
6,6,0,0,93
6,6,1,4,164
6,6,1,5,414
6,6,1,6,582
6,6,1,7,217
6,6,1,0,1
6,6,1,1,799
6,6,1,2,0
6,6,1,3,83
9,0,0,1,0
9,0,0,2,792
9,0,0,3,21
9,0,0,4,0
9,0,0,5,0
9,0,0,6,0
9,0,0,7,126
9,0,0,0,0
9,0,1,0,118
9,0,1,1,242
9,0,1,2,4
9,0,1,3,0
9,0,1,4,266
9,0,1,5,0
9,0,1,6,159
