2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 17200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 17300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 17400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 17500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 17600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 17700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 17800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 17900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 18000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 18100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 18200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 18300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 18400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 18500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2423 samples/sec
Epoch 18600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2423 samples/sec
Epoch 18700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2422 samples/sec
Epoch 18800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2422 samples/sec
Epoch 18900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2421 samples/sec
Epoch 19000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2421 samples/sec
Epoch 19100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2421 samples/sec
Epoch 19200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2421 samples/sec
Epoch 19300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2420 samples/sec
Epoch 19400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2420 samples/sec
Epoch 19500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2420 samples/sec
Epoch 19600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2420 samples/sec
Epoch 19700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2419 samples/sec
Epoch 19800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2419 samples/sec
Epoch 19900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2419 samples/sec
Epoch 20000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2419 samples/sec
Epoch 20100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2419 samples/sec
Epoch 20200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2418 samples/sec
Epoch 20300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2418 samples/sec
Epoch 20400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2418 samples/sec
Epoch 20500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 20600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 20700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 20800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 20900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 21000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2417 samples/sec
Epoch 21100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2416 samples/sec
Epoch 21200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2416 samples/sec
Epoch 21300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2416 samples/sec
Epoch 21400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2416 samples/sec
Epoch 21500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2415 samples/sec
Epoch 21600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2415 samples/sec
Epoch 21700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2415 samples/sec
Epoch 21800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2414 samples/sec
Epoch 21900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2414 samples/sec
Epoch 22000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2414 samples/sec
Epoch 22100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2414 samples/sec
